frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,2,0,0,1,1,1,0.9885,0.9879,0.912,0.8873,692.7188,235.9006,484.4654,233.6005,605.9341,242.6436,550.3588,236.0852,208.2661,55.961,0.2687,1,1,1,0
0,2,0,1,1,1,1,0.9868,0.9883,0.8524,0.8686,985.7892,351.3099,769.6399,341.3546,907.5394,446.6654,846.7277,435.4338,216.3784,61.8402,0.2858,1,1,1,0
1,2,0,0,1,1,1,0.9885,0.9879,0.9119,0.8873,692.698,235.6283,484.5978,233.636,606.2843,243.603,550.4115,235.8394,208.1098,56.4096,0.2711,1,1,2,0
1,2,0,1,1,1,1,0.9868,0.9884,0.8517,0.8685,985.9853,351.3072,769.5425,341.4267,907.7155,446.9476,845.9244,435.8708,216.6682,62.776,0.2897,1,1,2,0
2,2,0,0,1,1,1,0.9882,0.9881,0.9108,0.8895,692.5634,235.3227,484.8056,234.3574,606.888,244.2875,550.8053,236.3768,207.7601,56.6379,0.2726,1,1,3,0
2,2,0,1,1,1,1,0.9868,0.9885,0.8499,0.8681,987.4722,350.3306,770.1381,340.9391,904.7077,445.7542,845.338,433.4802,217.5369,60.6252,0.2787,1,1,3,0
3,2,0,0,1,1,1,0.9883,0.9881,0.9108,0.8889,692.5804,235.4253,484.8846,234.3205,607.0837,244.2157,550.9422,236.194,207.6987,56.7117,0.273,1,1,4,0
3,2,0,1,1,1,1,0.9868,0.9886,0.8493,0.8684,987.5183,350.4438,769.9632,341.1756,904.2455,445.8733,845.7143,433.552,217.7524,59.814,0.2747,1,1,4,0
4,2,0,0,1,1,1,0.9881,0.9881,0.911,0.8911,692.0735,235.5155,484.5948,234.8214,606.615,245.141,550.4896,237.0852,207.4799,56.7006,0.2733,1,1,5,0
4,2,0,1,1,1,1,0.987,0.9884,0.8524,0.8666,987.7084,349.5696,769.5135,341.1212,901.8824,443.4362,846.5419,430.7868,218.3584,56.7678,0.26,1,1,5,0
5,2,0,0,1,1,1,0.9882,0.988,0.912,0.8909,691.829,235.5791,484.6048,234.7516,607.1136,245.3714,550.7965,236.6666,207.2259,56.9858,0.275,1,1,6,1
