frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,3,0,0,1,1,1,0.9917,0.9893,0.9312,0.9292,796.5,349.5,696.0,353.0,743.5,373.0,743.5,359.0,100.5609,14.0,0.1392,1,1,1,0
0,3,0,1,1,1,1,0.9912,0.9893,0.9238,0.918,956.0,357.0,850.5,353.5,915.0,391.0,889.0,385.0,105.558,26.6833,0.2528,1,1,1,0
0,3,0,2,1,1,1,0.9902,0.9922,0.9189,0.9331,644.5,308.0,544.0,303.5,610.0,315.0,573.5,303.0,100.6007,38.422,0.3819,1,1,1,0
1,3,0,2,1,1,1,0.9902,0.9922,0.9224,0.9341,644.0,308.0,544.5,303.0,605.0,312.0,575.0,303.5,99.6255,31.1809,0.313,1,1,2,0
1,3,0,0,1,1,1,0.9907,0.9902,0.9282,0.9365,796.5,351.0,695.0,354.0,742.0,370.0,743.0,359.0,101.5443,11.0454,0.1088,1,1,2,0
1,3,0,1,1,1,1,0.9902,0.9902,0.918,0.9243,956.0,357.0,850.5,354.0,915.0,386.5,890.5,383.0,105.5426,24.7487,0.2345,1,1,2,0
2,3,0,0,1,1,1,0.9907,0.9902,0.9302,0.9375,796.0,349.5,696.0,352.0,744.0,371.5,742.0,354.0,100.0312,17.6139,0.1761,1,1,3,0
2,3,0,2,1,1,1,0.9907,0.9927,0.9263,0.937,644.5,309.0,546.0,303.5,605.0,311.5,576.0,308.0,98.6534,29.2104,0.2961,1,1,3,0
2,3,0,1,1,1,1,0.9902,0.9912,0.9277,0.9399,955.5,357.5,854.5,353.0,918.5,384.0,890.0,384.5,101.1002,28.5044,0.2819,1,1,3,0
3,3,0,2,1,1,1,0.9873,0.9927,0.8979,0.9438,646.0,307.5,545.0,309.0,617.0,316.0,585.5,301.0,101.0111,34.8891,0.3454,1,1,4,0
3,3,0,0,1,1,1,0.9917,0.9917,0.9331,0.9355,797.0,347.0,695.5,354.0,746.0,374.0,727.0,376.0,101.7411,19.105,0.1878,1,1,4,0
3,3,0,1,1,1,1,0.9902,0.9897,0.9175,0.9229,957.0,357.5,851.5,353.5,918.5,384.5,890.5,385.0,105.5758,28.0045,0.2653,1,1,4,0
4,3,0,2,1,1,1,0.9897,0.9946,0.9092,0.9526,650.5,310.0,547.0,309.5,608.0,318.0,580.5,301.5,103.5012,32.0702,0.3099,1,1,5,0
4,3,0,1,1,1,1,0.9907,0.9902,0.9233,0.9268,957.0,357.5,851.5,352.5,918.5,389.5,892.0,386.0,105.6184,26.7301,0.2531,1,1,5,0
4,3,0,0,1,1,1,0.9912,0.9907,0.9316,0.9399,797.0,350.5,697.0,353.0,746.5,374.0,744.5,361.5,100.0312,12.659,0.1266,1,1,5,0
5,3,0,2,1,1,1,0.9888,0.9937,0.9043,0.9478,650.5,308.5,548.5,309.5,611.5,314.5,583.5,300.5,102.0049,31.305,0.3069,1,1,6,1
5,3,0,1,1,1,1,0.9917,0.9902,0.9287,0.9248,957.5,355.5,850.0,352.5,916.0,387.5,893.0,384.0,107.5419,23.2648,0.2163,1,1,6,1
5,3,0,0,1,1,1,0.9907,0.9922,0.9199,0.9341,797.5,344.5,694.5,354.0,747.5,375.0,726.0,376.0,103.4372,21.5232,0.2081,1,1,6,1
6,3,0,2,1,1,1,0.9883,0.9922,0.9053,0.9395,646.0,307.0,545.0,308.0,617.0,311.0,588.5,300.0,101.005,30.5491,0.3025,1,1,7,1
6,3,0,0,1,1,1,0.9912,0.9888,0.9331,0.9287,796.0,351.0,695.5,354.0,739.0,373.5,740.0,362.0,100.5448,11.5434,0.1148,1,1,7,1
6,3,0,1,1,1,1,0.9917,0.9893,0.9292,0.9194,956.0,357.5,852.0,352.0,919.5,390.5,888.5,388.5,104.1453,31.0644,0.2983,1,1,7,1
7,3,0,2,1,1,1,0.9868,0.9927,0.8936,0.9438,647.0,307.5,546.0,308.5,617.5,314.0,590.5,301.5,101.005,29.7532,0.2946,1,1,8,1
7,3,0,0,1,1,1,0.9902,0.9893,0.9253,0.9326,796.5,352.0,694.0,356.0,747.0,376.0,739.5,364.5,102.578,13.7295,0.1338,1,1,8,1
7,3,0,1,1,1,1,0.9893,0.9917,0.917,0.9395,956.0,355.5,853.0,351.5,919.0,387.0,891.5,385.5,103.0776,27.5409,0.2672,1,1,8,1
8,3,0,2,1,1,1,0.9893,0.9946,0.9028,0.9536,649.0,308.0,547.0,307.5,608.5,312.5,584.0,301.0,102.0012,27.0647,0.2653,1,1,9,1
