frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,3,1,0,1,1,1,0.9873,0.9863,0.8628,0.8579,986.0,355.5,769.5,349.0,909.5,448.5,848.0,434.0,216.5976,63.1862,0.2917,1,1,1,0
0,3,1,1,1,1,1,0.9893,0.9858,0.9243,0.8809,693.5,237.0,489.75,236.0,605.0,249.5,546.5,243.0,203.7525,58.86,0.2889,1,1,1,0
0,3,1,2,0,0,1,0.222,0.2766,0.1161,0.127,1004.0,0.0,262.5,0.0,961.5,0.0,278.75,0.0,741.5,682.75,0.9208,1,0,0,0
1,2,0,0,1,1,1,0.9868,0.9849,0.873,0.8613,985.0,346.0,773.5,339.5,916.0,452.0,841.5,432.0,211.5999,77.1379,0.3645,1,1,2,0
1,2,0,1,1,1,1,0.9888,0.9868,0.9219,0.8882,690.0,237.5,486.25,237.0,603.5,260.5,546.0,252.5,203.7506,58.0539,0.2849,1,1,2,0
2,2,0,1,1,1,1,0.9888,0.9863,0.9214,0.8872,698.0,237.0,490.0,233.0,612.0,260.0,546.5,253.0,208.0385,65.873,0.3166,1,1,3,0
2,2,0,0,1,1,1,0.9888,0.9829,0.8896,0.8452,989.0,346.0,773.0,340.0,906.0,451.5,842.0,432.5,216.0833,66.7608,0.309,1,1,3,0
3,3,1,0,1,1,1,0.9858,0.9888,0.8618,0.8726,980.0,346.5,773.5,338.0,905.5,450.5,838.5,423.0,206.6749,72.4241,0.3504,1,1,4,0
3,3,1,1,1,1,1,0.9888,0.9849,0.9146,0.8823,686.0,243.5,485.5,240.0,608.5,247.5,540.5,247.5,200.5305,68.0,0.3391,1,1,4,0
3,3,1,3,0,0,1,0.2074,0.244,0.1571,0.161,940.5,0.0,304.0,0.0,953.5,0.0,302.0,0.0,636.5,651.5,1.0236,1,0,0,0
4,2,0,0,1,1,1,0.9868,0.9858,0.8799,0.8579,986.0,340.0,780.0,334.0,904.0,445.5,841.0,432.0,206.0874,64.4302,0.3126,1,1,5,0
4,2,0,1,1,1,1,0.9893,0.9868,0.917,0.8804,694.5,235.0,487.5,237.5,602.5,251.0,555.5,253.0,207.0151,47.0425,0.2272,1,1,5,0
5,2,0,1,1,1,1,0.9897,0.9878,0.9141,0.877,698.0,241.5,485.25,239.0,604.0,250.0,554.5,243.0,212.7647,49.9925,0.235,1,1,6,1
5,2,0,0,1,1,1,0.9858,0.9888,0.8604,0.8711,976.0,344.0,771.5,338.0,906.0,451.5,829.5,431.5,204.588,79.0712,0.3865,1,1,6,1
6,2,0,0,1,1,1,0.9883,0.9868,0.875,0.8638,991.0,345.0,772.5,338.0,901.5,440.0,837.0,432.0,218.6121,64.9942,0.2973,1,1,7,1
6,2,0,1,1,1,1,0.9897,0.9849,0.9287,0.877,692.5,239.0,488.25,239.0,604.5,250.0,553.5,243.5,204.25,51.4125,0.2517,1,1,7,1
7,3,1,0,1,1,1,0.9883,0.9824,0.8901,0.8442,990.5,343.0,775.0,338.0,897.5,434.0,841.0,431.0,215.558,56.5796,0.2625,1,1,8,1
7,3,1,1,1,1,1,0.9902,0.9858,0.9243,0.8687,697.0,237.5,490.25,237.0,602.5,259.0,546.0,253.0,206.7506,56.8177,0.2748,1,1,8,1
7,3,1,4,0,0,1,0.213,0.2371,0.1638,0.1429,941.5,0.0,294.75,0.0,937.5,0.0,293.75,0.0,646.75,643.75,0.9954,1,0,0,0
8,2,0,0,1,1,1,0.9873,0.9858,0.8853,0.854,985.0,340.5,778.0,338.5,903.5,446.5,841.0,431.5,207.0097,64.2748,0.3105,1,1,9,1
8,2,0,1,1,1,1,0.9893,0.9873,0.9194,0.8828,696.0,237.5,486.75,237.0,604.0,259.0,554.0,253.5,209.2506,50.3016,0.2404,1,1,9,1
9,2,0,0,1,1,1,0.9868,0.9888,0.8716,0.8696,982.5,342.5,773.0,339.5,905.0,435.0,829.5,431.0,209.5215,75.6059,0.3609,1,1,10,1
9,2,0,1,1,1,1,0.9888,0.9868,0.9189,0.8843,697.0,241.5,486.75,241.0,603.5,251.0,546.5,252.0,210.2506,57.0088,0.2711,1,1,10,1
10,2,0,0,1,1,1,0.9863,0.9844,0.8936,0.8672,983.0,341.5,782.0,335.0,904.0,446.0,840.5,432.0,201.1051,65.025,0.3233,1,1,11,1
10,2,0,1,1,1,1,0.9893,0.9873,0.9204,0.8843,693.5,237.5,487.0,236.0,602.5,250.5,546.5,251.5,206.5054,56.0089,0.2712,1,1,11,1
11,2,0,0,1,1,1,0.9854,0.9888,0.8662,0.8799,982.0,344.0,782.0,339.0,904.0,434.0,828.5,421.5,200.0625,76.5278,0.3825,1,1,12,1
11,2,0,1,1,1,1,0.9883,0.9839,0.9067,0.8696,684.5,244.0,484.0,240.0,609.0,252.0,549.5,248.0,200.5399,59.6343,0.2974,1,1,12,1
12,2,0,0,1,1,1,0.9858,0.9883,0.8564,0.8647,981.0,342.0,773.5,334.0,906.5,433.0,839.5,422.5,207.6542,67.8178,0.3266,1,1,13,1
12,2,0,1,1,1,1,0.9907,0.9863,0.9258,0.8735,696.0,242.0,485.25,239.0,604.0,250.5,554.5,253.0,210.7714,49.5631,0.2352,1,1,13,1
13,2,0,0,1,1,1,0.9888,0.9829,0.9048,0.8438,983.0,343.0,777.5,336.5,903.0,445.5,831.5,412.0,205.6028,78.9589,0.384,1,1,14,1
13,2,0,1,1,1,1,0.9897,0.9868,0.9258,0.8833,694.0,239.5,485.25,241.5,602.5,251.5,546.0,251.5,208.7596,56.5,0.2706,1,1,14,1
14,2,0,0,1,1,1,0.9868,0.9854,0.8901,0.8628,980.0,338.5,779.5,329.0,904.0,445.5,841.5,422.5,200.7249,66.5977,0.3318,1,1,15,1
14,2,0,1,1,1,1,0.9893,0.9858,0.9214,0.874,697.0,246.5,486.5,243.5,604.0,260.5,546.5,253.0,210.5214,57.9871,0.2754,1,1,15,1
15,2,0,0,1,1,1,0.9863,0.9868,0.875,0.8628,983.0,346.0,778.5,338.5,897.5,432.0,838.0,422.5,204.6375,60.2536,0.2944,1,1,16,1
15,2,0,1,1,1,1,0.9897,0.9858,0.9204,0.8745,696.0,237.0,488.75,237.0,604.0,250.0,553.5,243.5,207.25,50.9166,0.2457,1,1,16,1
16,2,0,0,1,1,1,0.9863,0.9849,0.8916,0.8633,979.0,339.5,774.0,338.5,903.5,445.5,842.0,412.5,205.0024,69.7943,0.3405,1,1,17,1
16,2,0,1,1,1,1,0.9897,0.9858,0.9224,0.8745,693.0,243.0,488.0,237.5,602.0,260.0,546.5,253.0,205.0738,55.9397,0.2728,1,1,17,1
17,2,0,0,1,1,1,0.9863,0.9873,0.876,0.8726,979.5,344.5,772.5,340.5,907.0,433.0,839.0,423.0,207.0386,68.7314,0.332,1,1,18,1
17,2,0,1,1,1,1,0.9902,0.9858,0.9263,0.874,692.5,242.5,488.0,239.0,602.5,251.0,554.0,253.0,204.5299,48.5412,0.2373,1,1,18,1
18,2,0,0,1,1,1,0.9873,0.9844,0.8916,0.8486,984.5,342.0,781.5,337.0,901.5,437.5,840.5,430.5,203.0616,61.4003,0.3024,1,1,19,1
18,2,0,1,1,1,1,0.9902,0.9868,0.9204,0.8765,695.0,241.5,485.5,239.5,604.0,251.0,555.0,252.5,209.5095,49.023,0.234,1,1,19,1
19,2,0,1,1,1,1,0.9897,0.9863,0.9097,0.876,687.5,243.5,486.5,237.0,608.5,247.0,541.0,246.5,201.1051,67.5019,0.3357,1,1,20,1
19,2,0,0,1,1,1,0.9858,0.9863,0.8711,0.8716,984.0,352.0,776.5,343.0,899.5,439.5,838.5,433.0,207.6951,61.3453,0.2954,1,1,20,1
20,2,0,0,1,1,1,0.9839,0.9873,0.8647,0.8809,978.0,345.5,773.0,340.0,904.5,433.5,838.5,422.5,205.0738,66.9104,0.3263,1,1,21,1
20,2,0,1,1,1,1,0.9897,0.9868,0.9209,0.876,693.5,238.5,482.75,237.0,603.0,260.5,554.0,253.0,210.7553,49.5707,0.2352,1,1,21,1
21,2,0,0,1,1,1,0.9883,0.9814,0.8936,0.8467,983.0,342.5,777.5,340.0,897.5,434.0,841.0,431.5,205.5152,56.5553,0.2752,1,1,22,1
21,2,0,1,1,1,1,0.9893,0.9883,0.916,0.8887,691.5,242.0,479.75,241.0,603.5,260.0,546.5,252.0,211.7524,57.5587,0.2718,1,1,22,1
22,2,0,0,1,1,1,0.9863,0.9868,0.8638,0.8726,988.5,347.5,773.5,341.0,907.5,439.0,839.5,414.5,215.0982,72.279,0.336,1,1,23,1
22,2,0,1,1,1,1,0.9902,0.9858,0.9268,0.8716,688.0,242.0,487.25,241.0,604.0,260.0,554.0,253.0,200.7525,50.4876,0.2515,1,1,23,1
23,2,0,0,1,1,1,0.9863,0.9844,0.8931,0.8672,982.0,340.0,780.5,337.0,903.0,445.0,842.5,413.5,201.5223,68.2092,0.3385,1,1,24,1
23,2,0,1,1,1,1,0.9888,0.9863,0.918,0.8799,695.5,238.0,487.0,237.0,604.0,259.5,546.0,252.5,208.5024,58.4209,0.2802,1,1,24,1
24,2,0,0,1,1,1,0.9868,0.9858,0.8687,0.8643,988.5,354.0,772.0,346.5,915.5,447.5,839.0,424.5,216.6299,79.8827,0.3688,1,1,25,1
24,2,0,1,1,1,1,0.9902,0.9868,0.9238,0.8794,687.5,242.0,484.5,241.0,605.0,260.0,554.5,252.5,203.0025,51.0539,0.2515,1,1,25,1
25,2,0,0,1,1,1,0.9858,0.9849,0.8872,0.8667,982.0,344.5,783.5,337.0,913.0,436.5,841.5,431.5,198.6416,71.6746,0.3608,1,1,26,1
25,2,0,1,1,1,1,0.9897,0.9878,0.9185,0.8818,692.0,239.5,483.25,241.5,601.5,260.0,547.0,252.5,208.7596,55.0136,0.2635,1,1,26,1
26,3,1,1,1,1,1,0.9897,0.9868,0.9233,0.8804,696.0,237.0,484.0,237.0,604.0,250.5,554.0,252.5,212.0,50.04,0.236,1,1,27,1
26,3,1,0,1,1,1,0.9858,0.9873,0.8779,0.874,983.5,347.5,775.0,344.0,904.5,433.0,839.0,423.0,208.5294,66.259,0.3177,1,1,27,1
26,3,1,5,0,0,1,0.1693,0.2363,0.1342,0.1617,968.0,0.0,288.5,0.0,922.0,0.0,313.75,0.0,679.5,608.25,0.8951,1,0,0,0
27,2,0,0,1,1,1,0.9858,0.9873,0.8721,0.8711,981.5,341.0,781.5,335.5,913.0,443.0,840.0,424.0,200.0756,75.4321,0.377,1,1,28,1
