frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,2,0,0,1,1,1,0.9919,0.9916,0.9428,0.9369,710.4266,299.4034,600.9422,293.7141,663.074,299.2976,627.2382,295.2736,109.6321,36.061,0.3289,1,1,1,0
0,2,0,1,1,1,1,0.9932,0.9881,0.943,0.9131,882.2617,352.8989,768.3606,349.8534,843.4869,396.0308,806.0597,392.9487,113.9418,37.5539,0.3296,1,1,1,0
1,2,0,0,1,1,1,0.9916,0.9919,0.9403,0.9387,707.6656,299.641,599.4628,293.0789,663.2666,295.7384,627.3173,292.0104,108.4015,36.142,0.3334,1,1,2,0
1,2,0,1,1,1,1,0.9933,0.9876,0.9438,0.9097,883.0208,354.36,768.3902,350.285,841.5486,396.2587,805.6162,392.9109,114.703,36.088,0.3146,1,1,2,0
2,2,0,0,1,1,1,0.9917,0.9919,0.9412,0.9388,707.8015,299.6879,599.5523,293.0857,663.4002,295.7808,627.2816,292.056,108.4504,36.3103,0.3348,1,1,3,0
2,2,0,1,1,1,1,0.9932,0.9878,0.9435,0.9106,882.8271,354.1727,768.245,350.0581,841.5011,396.2544,805.8229,393.0778,114.6559,35.8194,0.3124,1,1,3,0
3,2,0,0,1,1,1,0.992,0.9918,0.9432,0.9381,706.3476,299.26,599.311,292.2128,662.9538,294.8051,626.7252,292.0198,107.2684,36.3355,0.3387,1,1,4,0
3,2,0,1,1,1,1,0.9934,0.988,0.9442,0.9117,883.1033,353.6776,768.1253,349.8324,840.2774,396.5844,805.769,391.1864,115.0422,34.9281,0.3036,1,1,4,0
4,2,0,0,1,1,1,0.9916,0.9918,0.9406,0.9383,704.1546,298.5295,598.7294,291.6359,662.3564,292.8777,626.6272,290.2984,105.6503,35.8221,0.3391,1,1,5,0
4,2,0,1,1,1,1,0.9932,0.9878,0.9433,0.9106,883.4099,353.4544,768.4018,349.8998,841.0677,396.3358,805.212,392.4676,115.063,36.0638,0.3134,1,1,5,0
5,2,0,0,1,1,1,0.9915,0.9918,0.9401,0.9382,704.2006,298.2233,598.839,291.432,662.3018,292.6864,626.6236,290.2496,105.5803,35.7613,0.3387,1,1,6,1
5,2,0,1,1,1,1,0.9932,0.9877,0.9432,0.9099,883.5891,353.3636,768.2536,349.9198,841.2238,396.9395,805.2466,392.3545,115.3868,36.2682,0.3143,1,1,6,1
6,2,0,0,1,1,1,0.9914,0.9923,0.9372,0.9404,702.9088,298.0029,598.5192,291.362,662.5484,291.1574,626.502,288.6324,104.6005,36.1347,0.3455,1,1,7,1
6,2,0,1,1,1,1,0.9933,0.9879,0.9432,0.9109,883.7827,352.7074,768.354,349.8876,842.8185,398.0553,803.0285,391.1402,115.4631,40.3864,0.3498,1,1,7,1
7,2,0,0,1,1,1,0.9914,0.9923,0.9375,0.9402,702.9002,298.0729,598.5276,291.4778,662.5777,291.0745,626.4924,288.8258,104.5807,36.1553,0.3457,1,1,8,1
