frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,2,0,0,0,1,1,0.8891,0.9803,0.336,0.7438,161.7793,332.9954,55.9819,326.2265,193.8619,632.7354,81.1691,675.4084,106.0137,120.5017,1.1367,0,0,0,0
0,2,0,1,0,1,1,0.994,0.86,0.8998,0.2804,1042.5901,347.9509,1048.1968,338.7488,1002.4183,604.2525,979.8358,580.6206,10.7756,32.6869,3.0334,0,0,0,0
1,2,0,0,0,1,1,0.8898,0.9805,0.3486,0.752,161.6852,331.363,55.9016,327.2146,196.1659,628.4494,82.9428,674.0854,105.8649,122.0743,1.1531,0,0,0,0
1,2,0,1,0,1,1,0.9962,0.8514,0.9413,0.3183,1038.7212,347.1296,1041.6685,338.4855,1003.0406,606.3576,967.6652,578.8726,9.1327,44.7979,4.9052,0,0,0,0
2,2,0,0,0,1,1,0.8887,0.9806,0.3403,0.7486,161.7286,331.3338,56.5963,327.0575,195.5488,630.7285,82.4205,675.0984,105.2192,121.5183,1.1549,0,0,0,0
2,2,0,1,0,1,1,0.9962,0.8506,0.9411,0.3138,1038.3726,346.9779,1041.9242,338.5014,1003.1053,606.6035,968.0189,579.5509,9.1906,44.3047,4.8207,0,0,0,0
3,2,0,0,0,1,1,0.8825,0.9802,0.3097,0.7321,161.8254,332.638,57.1431,327.9587,194.0254,638.3942,83.0543,676.7125,104.7869,117.4004,1.1204,0,0,0,0
3,2,0,1,0,1,1,0.9966,0.8504,0.9444,0.3071,1033.6636,347.4628,1041.5111,341.3596,1001.5226,608.4979,966.0687,581.7156,9.9415,44.4328,4.4694,0,0,0,0
4,2,0,0,0,1,1,0.8828,0.9803,0.3136,0.736,161.7574,332.8317,57.2631,328.0608,193.9417,638.0778,82.9031,676.2026,104.6031,117.4014,1.1224,0,0,0,0
4,2,0,1,0,1,1,0.9965,0.8479,0.9435,0.3021,1033.693,347.0012,1041.2434,341.7803,1001.787,607.7464,965.8149,581.4148,9.1797,44.5796,4.8563,0,0,0,0
5,2,0,0,0,1,1,0.9056,0.9846,0.3999,0.7869,164.7262,330.9275,62.5213,329.5327,192.2813,631.7384,80.3301,687.1367,102.2145,124.9082,1.222,0,0,0,0
5,2,0,1,0,1,1,0.9966,0.8524,0.9514,0.3415,1033.712,346.9148,1033.925,340.1812,1000.2876,604.9824,964.6312,575.8794,6.7371,46.0257,6.8317,0,0,0,0
6,2,0,0,0,1,1,0.9054,0.9846,0.3975,0.7855,164.9724,330.9825,62.4828,329.6898,192.1252,632.544,80.4693,687.7454,102.4977,124.5562,1.2152,0,0,0,0
6,2,0,1,0,1,1,0.9966,0.8516,0.9511,0.3384,1033.5137,346.8741,1034.1119,340.0078,1000.1366,605.148,964.7071,576.299,6.8923,45.6892,6.629,0,0,0,0
7,2,0,0,0,0,1,0.8969,0.9838,0.3784,0.7834,167.9181,334.1737,65.9678,329.8942,193.4279,642.2876,80.4262,690.0927,102.0401,122.6976,1.2024,0,0,0,0
7,2,0,1,0,1,1,0.9966,0.8445,0.9552,0.3549,1030.6163,346.2422,1031.6144,338.0963,1001.2567,606.2169,963.1103,571.5512,8.2068,51.5447,6.2807,0,0,0,0
8,2,0,0,1,1,1,0.9147,0.987,0.4371,0.8225,171.3348,336.6636,71.4716,327.1098,194.9604,638.6062,77.8509,686.0466,100.3192,126.3536,1.2595,0,0,0,0
8,2,0,1,0,1,1,0.9969,0.8547,0.959,0.3743,1028.0354,345.7528,1030.4562,339.7555,1001.2035,607.2104,959.2484,568.178,6.4675,57.3041,8.8604,0,0,0,0
9,2,0,0,1,1,1,0.9142,0.987,0.4368,0.8234,171.1043,336.305,71.8717,326.749,194.6156,638.9276,77.7766,685.8537,99.6916,125.9103,1.263,0,0,0,0
9,2,0,1,0,1,1,0.9969,0.8535,0.9589,0.3718,1028.0532,345.6539,1030.3849,339.506,1000.6547,607.6484,959.3469,568.7324,6.5752,56.7519,8.6312,0,0,0,0
10,2,0,0,1,1,1,0.9145,0.9876,0.4242,0.8216,177.2195,336.8263,74.0316,325.453,193.4278,644.3074,75.1313,687.0697,103.8127,125.7882,1.2117,0,0,0,0
10,2,0,1,0,1,1,0.9967,0.8693,0.9538,0.352,1026.57,347.9596,1021.1941,343.465,1001.0067,612.4459,958.1338,573.6526,7.0072,57.8187,8.2513,0,0,0,0
11,2,0,0,1,1,1,0.913,0.9874,0.42,0.8197,177.3742,336.9511,73.8508,325.6592,193.6005,644.323,75.4665,686.9485,104.1374,125.5889,1.206,0,0,0,0
11,2,0,1,0,1,1,0.9967,0.8685,0.9535,0.349,1026.5724,348.0337,1021.2808,343.4386,1001.2222,612.5556,958.4902,574.1518,7.0083,57.4533,8.1979,0,0,0,0
12,2,0,0,1,1,1,0.9145,0.988,0.4274,0.8272,180.7289,335.4006,81.8364,323.1232,193.484,641.743,78.739,677.1217,99.6517,120.0752,1.2049,0,0,0,0
12,2,0,1,1,1,1,0.9968,0.8995,0.9598,0.4631,1025.6906,350.3163,1003.436,347.1684,1013.0516,614.533,954.1289,575.294,22.476,70.7926,3.1497,0,0,0,0
13,2,0,0,1,1,1,0.9151,0.9881,0.4283,0.8274,180.9102,335.5212,81.6226,323.4072,194.1532,642.1292,78.8272,677.2262,100.0239,120.5483,1.2052,0,0,0,0
13,2,0,1,1,1,1,0.9968,0.8997,0.9596,0.4631,1025.6552,350.3608,1003.3943,347.1344,1012.9603,614.9294,953.94,575.5384,22.4934,70.9581,3.1546,0,0,0,0
14,2,0,0,1,1,1,0.9182,0.989,0.4508,0.8427,189.409,342.4457,86.4712,325.6249,193.3511,643.5489,81.9037,678.6226,104.3031,116.8361,1.1202,0,0,0,0
14,2,0,1,1,1,1,0.9962,0.8981,0.9569,0.4876,1019.7592,351.1897,992.9034,351.7299,1024.1079,617.0698,947.4633,569.4731,26.8612,90.2211,3.3588,0,0,0,0
15,2,0,0,1,1,1,0.9258,0.9905,0.4644,0.8494,197.7338,341.9674,94.5342,327.2308,199.2882,632.3478,86.4125,675.6492,104.2465,120.8964,1.1597,0,0,0,0
15,2,0,1,1,1,1,0.9958,0.9084,0.9532,0.5312,1011.9226,350.892,977.6746,351.393,1034.0331,606.4308,927.8879,560.5682,34.2517,115.6295,3.3759,0,0,0,0
16,2,0,0,1,1,1,0.9261,0.9906,0.4658,0.8501,197.8445,342.0358,94.4629,327.2446,199.4243,632.6975,86.4274,675.638,104.4343,120.8808,1.1575,0,0,0,0
16,2,0,1,1,1,1,0.9958,0.909,0.9534,0.5323,1011.8604,350.8791,977.517,351.4312,1033.9753,606.1746,927.4438,560.6156,34.3478,115.8645,3.3733,0,0,0,0
17,2,0,0,1,1,1,0.9293,0.9915,0.4192,0.8436,211.14,339.2579,101.8254,326.5455,222.2792,645.4554,88.3489,668.9964,110.0514,135.9835,1.2356,0,0,0,0
17,2,0,1,1,1,1,0.9954,0.9006,0.9597,0.5582,997.9594,352.4298,956.6434,353.5725,1048.0796,600.9488,902.6451,559.586,41.3318,151.202,3.6583,0,0,0,0
18,2,0,0,1,1,1,0.9293,0.9915,0.4193,0.8435,211.1122,339.2361,101.7634,326.711,222.4309,645.3156,88.0014,669.0301,110.0639,136.5053,1.2402,0,0,0,0
18,2,0,1,1,1,1,0.9954,0.9007,0.9598,0.5587,997.9551,352.4484,956.586,353.5634,1047.9757,601.004,902.5248,559.5798,41.3842,151.2346,3.6544,0,0,0,0
19,2,0,1,1,1,1,0.9958,0.904,0.9646,0.5829,984.3907,352.6042,938.3024,356.3406,1048.0134,594.727,876.9535,551.1532,46.2395,176.5225,3.8176,0,0,0,0
19,2,0,0,1,1,1,0.9274,0.9867,0.4346,0.8008,221.0841,339.5484,113.166,325.8246,236.5983,635.4413,92.6278,666.861,108.7873,147.3591,1.3546,0,0,0,0
20,2,0,1,1,1,1,0.9958,0.9042,0.9647,0.5835,984.4031,352.5109,938.3392,356.2108,1048.0825,594.7196,876.8559,551.274,46.2123,176.6525,3.8226,0,0,0,0
20,2,0,0,1,1,1,0.9272,0.9866,0.436,0.8013,221.0427,339.6342,113.0804,325.7615,236.7443,635.1714,92.6276,666.7783,108.8499,147.5419,1.3555,0,0,0,0
21,2,0,1,1,1,1,0.9961,0.9333,0.9574,0.5961,964.4892,357.4519,927.8276,356.5283,1043.6078,602.3868,856.0403,546.9908,36.6733,195.5767,5.333,0,0,0,0
21,2,0,0,1,1,1,0.9321,0.9919,0.447,0.8567,237.262,347.908,124.9496,330.3128,249.6931,641.9475,97.0499,669.3418,113.6823,155.0819,1.3642,0,0,0,0
22,2,0,1,1,1,1,0.9922,0.9053,0.9629,0.6778,946.6045,356.4518,905.7999,357.4398,1033.9333,601.2128,834.4604,555.6826,40.8165,204.6032,5.0128,0,0,0,0
22,2,0,0,1,1,1,0.9276,0.9923,0.4207,0.8581,248.9082,355.6697,146.5771,332.3054,249.3873,655.973,110.8073,687.6108,104.9645,142.1456,1.3542,0,0,0,0
23,2,0,1,1,1,1,0.9923,0.9058,0.9628,0.6775,946.5853,356.4537,905.947,357.4553,1033.9618,601.24,834.6426,555.7649,40.6506,204.441,5.0292,0,0,0,0
23,2,0,0,1,1,1,0.9275,0.9922,0.4205,0.8581,248.914,355.7381,146.5777,332.2965,249.0941,656.0977,110.8351,687.5642,104.9868,141.7945,1.3506,0,0,0,0
24,2,0,0,1,0,1,0.922,0.9906,0.4172,0.8436,262.1334,353.8735,164.0983,334.9926,257.3229,649.517,107.0631,694.315,99.8367,156.7957,1.5705,0,0,0,0
24,2,0,1,1,1,1,0.9929,0.8961,0.9505,0.5984,920.6287,360.9908,890.102,358.6629,1011.0822,600.2662,818.9165,555.32,30.6153,197.352,6.4462,0,0,0,0
25,2,0,0,1,0,1,0.9224,0.9906,0.4186,0.8442,262.3562,353.9803,164.0162,334.9886,257.9116,650.1493,107.073,694.2398,100.1571,157.1505,1.569,0,0,0,0
25,2,0,1,1,1,1,0.9929,0.8959,0.9504,0.5984,920.4929,360.8371,890.0878,358.5474,1011.0182,600.201,818.9558,555.4107,30.4912,197.216,6.468,0,0,0,0
26,2,0,0,1,1,1,0.9157,0.9905,0.4384,0.8589,285.2273,345.3671,187.3038,333.8566,290.9462,642.4198,133.3623,685.4016,98.5977,163.3405,1.6566,0,0,0,0
26,2,0,1,1,1,1,0.9928,0.9199,0.9522,0.6297,898.2334,359.3201,872.1199,355.3182,961.7375,596.6801,813.4895,561.1036,26.4183,152.457,5.7709,0,0,0,0
27,2,0,0,1,1,1,0.9157,0.9905,0.4382,0.8589,285.2158,345.4286,187.3308,333.8849,290.7248,642.5972,133.317,685.4778,98.5634,163.144,1.6552,0,0,0,0
27,2,0,1,1,1,1,0.9927,0.9198,0.952,0.6297,898.2358,359.3567,872.0949,355.3242,961.6418,596.6694,813.5223,561.0725,26.4501,152.337,5.7594,0,0,0,0
28,2,0,0,1,1,1,0.9205,0.992,0.4387,0.873,302.3014,348.656,211.9691,333.2946,312.4801,651.4174,155.9967,687.1731,91.6292,160.5164,1.7518,0,0,0,0
28,2,0,1,1,1,1,0.9941,0.8842,0.941,0.4986,873.119,359.1487,851.1407,352.8973,918.2897,630.9958,812.2688,559.4568,22.85,127.8994,5.5973,0,0,0,0
29,2,0,0,1,1,1,0.9205,0.992,0.4386,0.873,302.2889,348.6421,211.9434,333.2767,312.5211,651.7196,156.0129,687.083,91.6428,160.4537,1.7509,0,0,0,0
29,2,0,1,1,1,1,0.9941,0.8843,0.941,0.4986,873.1138,359.1288,851.1304,352.8941,918.3379,630.9187,812.2591,559.4687,22.8504,127.8977,5.5972,0,0,0,0
30,2,0,0,0,1,1,0.9209,0.9916,0.3675,0.8163,325.5988,352.9792,223.0706,343.0583,329.5165,646.454,184.257,689.82,103.0071,151.5946,1.4717,0,0,0,0
30,2,0,1,1,1,1,0.9884,0.8207,0.922,0.4126,844.9193,355.9795,835.051,344.476,872.9753,657.4265,803.0176,571.655,15.1563,110.6835,7.3028,0,0,0,0
31,2,0,0,0,1,1,0.9203,0.9916,0.367,0.8175,325.5031,352.9607,223.205,342.927,328.5837,646.2626,184.2401,689.5139,102.7889,150.6843,1.466,0,0,0,0
31,2,0,1,1,1,1,0.9884,0.8207,0.922,0.4123,844.9014,355.9362,835.1804,344.4122,873.1257,657.5966,803.0826,571.7241,15.0765,110.8157,7.3502,0,0,0,0
32,2,0,0,1,1,1,0.9234,0.9912,0.4336,0.8589,349.2202,342.9606,254.197,334.3692,363.915,638.2058,216.4407,674.8853,95.4108,151.9673,1.5928,0,0,0,0
32,2,0,1,0,0,1,0.9927,0.7326,0.8729,0.151,827.8816,358.5208,824.5574,346.3476,814.728,694.0252,793.1803,643.332,12.6189,55.0827,4.3651,0,0,0,0
33,2,0,0,1,0,1,0.9105,0.9888,0.4231,0.8415,359.9646,339.711,285.7198,332.4852,382.5269,648.2981,255.8117,694.6038,74.5956,134.911,1.8086,0,0,0,0
33,2,0,1,0,1,1,0.989,0.7271,0.8709,0.1919,802.0412,340.8794,800.5406,339.016,783.8856,619.2865,775.557,603.339,2.3925,17.9914,7.5201,0,0,0,0
34,2,0,0,1,0,1,0.9101,0.9888,0.4203,0.8402,359.6221,339.6528,285.6567,332.6927,382.3885,649.3941,255.9278,694.8504,74.2921,134.3822,1.8088,0,0,0,0
34,2,0,1,0,1,1,0.9891,0.7275,0.8713,0.192,801.9755,340.8398,800.6471,338.954,783.9646,619.3578,775.9314,603.2749,2.3067,17.9776,7.7937,0,0,0,0
35,2,0,1,0,1,1,0.9955,0.7483,0.9368,0.1989,771.5794,337.1142,787.7488,336.5997,737.7738,603.7571,734.316,585.817,16.1776,18.2703,1.1294,0,0,0,0
35,2,0,0,0,1,1,0.8841,0.9911,0.3465,0.8577,370.8721,332.0216,315.1887,328.8685,390.0156,613.8503,305.2545,660.2352,55.7726,96.623,1.7324,0,0,0,0
36,2,0,1,0,1,1,0.9955,0.7484,0.9368,0.1989,771.5686,337.1059,787.7906,336.5918,737.7934,603.7186,734.2778,585.8281,16.23,18.2326,1.1234,0,0,0,0
36,2,0,0,0,1,1,0.8842,0.9911,0.3471,0.8581,370.8657,331.9573,315.2283,328.8584,390.0405,613.7104,305.2718,660.3206,55.7237,96.738,1.736,0,0,0,0
37,2,0,0,1,0,1,0.8981,0.9866,0.4589,0.8601,393.631,326.0437,344.7486,320.2953,415.2234,653.0454,337.572,694.0964,49.2192,87.8347,1.7846,0,0,0,0
37,2,0,1,0,1,1,0.9946,0.76,0.9431,0.2724,756.9114,340.8158,765.7566,339.8325,696.6942,583.7832,699.6036,557.2859,8.8997,26.6566,2.9952,0,0,0,0
38,2,0,0,1,0,1,0.8982,0.9866,0.4583,0.8598,393.5368,326.017,344.8113,320.3405,415.1212,653.0274,337.5423,694.1352,49.0551,87.7971,1.7898,0,0,0,0
38,2,0,1,0,1,1,0.9946,0.7599,0.9431,0.2723,756.9316,340.828,765.8185,339.8213,696.5741,583.7545,699.6294,557.2064,8.9437,26.7234,2.988,0,0,0,0
39,2,0,1,0,1,1,0.9928,0.8475,0.9074,0.3025,731.6286,340.2214,746.954,341.4728,659.4997,553.82,671.5752,539.884,15.3765,18.4398,1.1992,0,0,0,0
39,2,0,0,1,1,1,0.9011,0.9919,0.4318,0.8891,415.4175,334.2866,373.2232,323.2295,466.829,609.3308,397.8138,684.6346,43.619,102.1458,2.3418,0,0,0,0
40,2,0,1,0,1,1,0.9928,0.8476,0.9075,0.3026,731.5902,340.1713,746.7323,341.4868,659.6388,553.6964,671.6075,539.9798,15.1991,18.2042,1.1977,0,0,0,0
40,2,0,0,1,1,1,0.9013,0.9919,0.4323,0.8891,415.7734,334.2289,373.1806,323.0838,466.8672,609.4906,397.7149,684.5276,44.0269,102.042,2.3177,0,0,0,0
41,2,0,0,1,1,1,0.9107,0.9916,0.4475,0.8826,426.5655,324.0275,402.7966,319.3755,487.6952,615.4936,423.1898,684.1358,24.2199,94.195,3.8892,0,0,0,0
41,2,0,1,0,1,1,0.9957,0.8059,0.9454,0.2723,706.0959,345.702,726.2108,343.2825,615.1944,567.1726,635.0032,548.7214,20.2599,27.0709,1.3362,0,0,0,0
42,2,0,0,1,0,1,0.9185,0.9931,0.4768,0.897,452.8762,338.5895,433.0137,330.708,503.2476,622.349,449.8152,695.5724,21.3691,90.6458,4.2419,0,0,0,0
42,2,0,1,0,1,1,0.995,0.791,0.9457,0.2616,682.2704,353.4601,701.1412,351.5468,585.7425,565.8432,603.627,550.9776,18.9675,23.2561,1.2261,0,0,0,0
43,2,0,0,1,0,1,0.9186,0.9931,0.4768,0.897,452.8832,338.7786,433.0914,330.8303,503.1967,622.3457,449.8086,695.6238,21.3282,90.6641,4.2509,0,0,0,0
43,2,0,1,0,1,1,0.995,0.7908,0.9456,0.2611,682.1588,353.3917,701.2477,351.4671,585.7069,565.882,603.5152,550.9548,19.1856,23.2369,1.2112,0,0,0,0
44,2,0,0,0,1,0,0.9105,0.993,0.362,0.8648,484.7911,336.872,459.8281,332.759,533.833,639.4543,477.4536,682.4164,25.2995,70.8829,2.8017,0,0,0,0
44,2,0,1,0,1,0,0.9938,0.6455,0.9434,0.1721,654.2628,358.4846,678.0608,354.6928,567.7664,557.1906,581.8612,531.5066,24.0982,29.2972,1.2157,0,0,0,0
45,2,0,0,0,1,0,0.9105,0.9931,0.362,0.8648,484.8137,336.9432,459.8069,332.803,533.8958,639.3857,477.4676,682.4027,25.3472,70.955,2.7993,0,0,0,0
45,2,0,1,0,1,0,0.9938,0.6456,0.9436,0.1725,654.318,358.4964,677.9808,354.7357,567.7923,557.1304,581.7586,531.5252,23.9597,29.1665,1.2173,0,0,0,0
46,2,0,0,1,1,0,0.9018,0.9913,0.4653,0.8863,538.0615,341.0479,477.8018,339.3898,577.8116,556.29,496.439,688.8014,60.2825,155.5017,2.5795,0,0,0,0
46,2,0,1,0,1,0,0.933,0.5449,0.7142,0.2038,627.2142,339.911,627.6947,341.4657,556.1032,567.8506,573.9851,564.5568,1.6272,18.1827,11.1739,0,0,0,0
47,2,0,0,1,1,0,0.8494,0.9803,0.407,0.8408,538.1725,344.3948,476.5508,347.3717,565.8258,559.3492,498.2883,671.6446,61.6935,131.0404,2.1241,0,0,0,0
47,2,0,1,0,1,0,0.9328,0.5459,0.7152,0.2057,627.1521,339.9403,627.6573,341.5781,556.4654,567.7091,574.2328,564.4902,1.714,18.0566,10.535,0,0,0,0
48,1,0,0,0,1,1,0.8768,0.9902,0.3577,0.8713,553.6836,348.721,513.3702,338.7341,603.159,642.7404,529.7831,680.1264,41.532,82.3514,1.9828,0,0,0,0
49,1,0,0,1,1,1,0.9241,0.9926,0.4879,0.9003,579.5932,341.7428,533.88,331.2693,610.259,661.9464,539.3651,689.3352,46.8975,76.0006,1.6206,0,0,0,0
50,1,0,0,1,1,1,0.9238,0.9926,0.4872,0.9001,579.5562,341.6426,533.8798,331.3179,610.1206,661.4033,539.3619,689.3502,46.8288,76.0777,1.6246,0,0,0,0
51,1,0,0,0,0,1,0.873,0.98,0.2945,0.7386,593.2581,329.089,565.8438,328.5187,618.9964,646.0588,557.0946,696.1056,27.4203,79.6022,2.903,0,0,0,0
52,1,0,0,0,0,1,0.8732,0.98,0.2945,0.7386,593.331,329.1747,565.8553,328.5457,618.9651,646.0521,557.0507,696.3282,27.4828,79.7563,2.902,0,0,0,0
53,2,0,0,0,1,0,0.9073,0.9852,0.3359,0.7435,614.8172,330.0494,588.5138,327.8519,648.3563,631.3509,574.4078,687.5766,26.3949,92.8963,3.5195,0,0,0,0
53,2,0,2,0,1,0,0.9187,0.7078,0.3865,0.124,539.1236,349.7778,511.1618,351.638,519.3103,614.2564,516.2956,632.5569,28.0235,18.5471,0.6618,0,0,0,0
54,2,0,0,0,1,0,0.9072,0.9851,0.3362,0.7436,614.7472,329.9934,588.5287,327.7908,648.229,631.1389,574.3964,687.5261,26.3108,92.902,3.5309,0,0,0,0
54,2,0,2,0,1,0,0.9182,0.708,0.3849,0.124,539.1664,349.7884,511.0781,351.65,519.375,613.79,516.2834,632.5443,28.1499,19.0074,0.6752,0,0,0,0
55,2,0,0,0,0,0,0.8981,0.9882,0.3439,0.798,632.039,330.3713,615.2512,332.4844,673.5208,628.6718,583.7683,703.0002,16.9203,116.5343,6.8873,0,0,0,0
55,2,0,2,0,1,0,0.9712,0.7394,0.6696,0.1628,534.4636,354.5111,507.6964,346.2062,531.1498,615.3302,481.4965,593.2329,28.026,54.3483,1.9392,0,0,0,0
56,2,0,0,0,0,0,0.8981,0.9882,0.3438,0.7979,632.0394,330.3526,615.2744,332.4985,673.4462,628.6546,583.807,703.0295,16.9018,116.4767,6.8914,0,0,0,0
56,2,0,2,0,1,0,0.9712,0.7403,0.6701,0.1636,534.471,354.5362,507.6476,346.1958,531.116,615.1935,481.1574,592.8748,28.0903,54.7173,1.9479,0,0,0,0
57,2,0,0,1,0,1,0.9192,0.9878,0.4301,0.8318,679.2527,338.5258,631.7314,334.6544,710.7851,663.1346,620.2725,708.1552,47.6787,101.091,2.1203,0,0,0,0
57,2,0,2,1,1,1,0.992,0.8958,0.9449,0.5155,498.9244,341.774,475.8441,336.3777,511.0533,596.643,421.287,535.6148,23.7028,108.5469,4.5795,0,0,0,0
58,2,0,0,1,0,1,0.9226,0.988,0.4669,0.8433,696.4856,336.3354,656.1569,334.4885,745.5774,615.3698,649.7048,695.0852,40.371,124.6841,3.0885,0,0,0,0
58,2,0,2,1,1,1,0.9914,0.9131,0.9466,0.6042,474.8796,345.8291,450.4734,342.2819,504.8398,598.5262,385.0423,528.6914,24.6626,138.6663,5.6225,0,0,0,0
59,2,0,0,1,0,1,0.9227,0.988,0.4673,0.8433,696.5066,336.3746,656.1195,334.5367,745.601,615.3879,649.6506,695.0626,40.4289,124.7178,3.0849,0,0,0,0
59,2,0,2,1,1,1,0.9914,0.9129,0.9467,0.6037,474.904,345.8692,450.4774,342.2838,504.8284,598.5166,385.137,528.6558,24.6883,138.5877,5.6135,0,0,0,0
60,2,0,0,0,0,1,0.901,0.9845,0.3066,0.7398,712.2514,330.399,689.8512,342.1785,747.4109,662.4186,683.6088,720.0,25.3086,85.9438,3.3958,0,0,0,0
60,2,0,2,1,1,1,0.9955,0.8732,0.9578,0.4576,447.289,353.892,427.8863,350.4526,477.065,600.438,365.4263,529.7176,19.7051,132.1535,6.7066,0,0,0,0
61,2,0,0,0,0,1,0.901,0.9845,0.3058,0.7389,712.234,330.448,689.8559,342.1792,747.1874,662.6675,683.617,720.0,25.2667,85.6049,3.3881,0,0,0,0
61,2,0,2,1,1,1,0.9955,0.8734,0.9579,0.4586,447.3352,353.8825,428.046,350.4432,477.0302,600.5302,365.4628,529.6856,19.5934,132.1599,6.7451,0,0,0,0
62,2,0,0,0,0,1,0.8931,0.9922,0.3526,0.86,745.3976,338.676,721.4794,346.3396,778.504,646.6603,719.6228,714.8804,25.116,90.1164,3.588,0,0,0,0
62,2,0,2,0,1,1,0.9774,0.834,0.8363,0.3662,415.9791,356.0645,416.1876,347.1156,344.0017,535.612,348.4191,527.8485,8.9513,8.9322,0.9979,0,0,0,0
63,2,0,0,0,0,1,0.8927,0.9923,0.3517,0.8601,745.188,338.4042,721.549,346.0292,777.9824,646.5716,719.5706,714.8883,24.8383,89.8839,3.6188,0,0,0,0
63,2,0,2,0,1,1,0.9775,0.8362,0.8363,0.369,416.2515,355.9357,415.9166,347.2642,343.9043,536.1126,348.3023,528.068,8.678,9.1684,1.0565,0,0,0,0
64,2,0,0,0,0,1,0.9036,0.9926,0.3597,0.8613,769.5526,328.1483,758.8518,336.4688,784.7505,655.9586,750.3632,711.9004,13.555,65.6656,4.8444,0,0,0,0
64,2,0,2,0,1,1,0.9693,0.7048,0.7204,0.1812,393.2214,373.0218,393.7956,357.1193,386.8427,616.5501,338.4198,566.0086,15.9129,69.9945,4.3986,0,0,0,0
65,2,0,0,0,0,1,0.9039,0.9926,0.3595,0.8614,769.4218,328.3708,758.9654,336.5026,784.672,656.5941,750.4804,711.9983,13.2461,65.1052,4.915,0,0,0,0
65,2,0,2,0,1,1,0.9701,0.7075,0.7228,0.1812,393.4563,373.4576,393.6766,357.3799,387.8513,617.9104,338.4959,566.3366,16.0792,71.3849,4.4396,0,0,0,0
66,2,0,0,0,0,1,0.89,0.9932,0.3989,0.8907,795.9293,321.2882,793.4504,327.8844,826.2342,614.5132,800.645,710.2044,7.0466,99.0535,14.0569,0,0,0,0
66,2,0,2,0,0,1,0.9863,0.6475,0.7509,0.0835,364.154,363.2058,364.6831,351.732,331.1215,699.0174,322.5584,669.4986,11.4859,30.7358,2.6759,0,0,0,0
67,2,0,0,0,0,1,0.8897,0.9932,0.3984,0.8904,796.0564,321.134,793.4586,327.9309,826.0462,613.9289,800.7696,710.2746,7.2764,99.6063,13.689,0,0,0,0
67,2,0,2,0,0,1,0.9864,0.65,0.752,0.0842,364.0396,363.1224,364.5656,351.8817,330.9814,700.6222,322.4971,670.9818,11.253,30.8307,2.7398,0,0,0,0
68,2,0,0,1,0,1,0.9176,0.9933,0.4225,0.8825,822.8546,326.9333,817.6617,329.95,868.8876,646.7981,841.4083,708.3712,6.0055,67.4267,11.2275,0,0,0,0
68,2,0,2,0,1,1,0.9852,0.6871,0.7939,0.1179,337.4339,346.795,351.3385,339.0585,309.4505,640.1856,294.4628,621.81,15.912,23.7128,1.4902,0,0,0,0
