frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,2,0,0,0,1,1,0.8911,0.9839,0.3953,0.7969,158.0,337.5,56.7812,332.0,168.0,612.0,89.6875,671.0,101.3681,98.0502,0.9673,0,0,0,0
0,2,0,1,0,1,1,0.9937,0.8486,0.9038,0.28,1046.0,353.5,1040.0,342.5,1005.5,606.0,971.5,580.0,12.53,42.8019,3.416,0,0,0,0
1,3,1,0,1,1,1,0.8926,0.9839,0.4326,0.8184,165.125,336.0,61.7188,329.5,167.5,612.0,88.5625,661.0,103.6103,92.9093,0.8967,0,0,0,0
1,3,1,1,0,1,1,0.9941,0.8599,0.9106,0.2959,1045.0,349.0,1042.0,340.0,1005.0,605.0,965.0,571.0,9.4868,52.4976,5.5337,0,0,0,0
1,3,1,2,0,0,1,0.0694,0.1223,0.0382,0.0528,1057.0,0.0,334.0,0.0,793.0,0.0,417.5,0.0,723.0,375.5,0.5194,1,0,0,0
2,2,0,0,1,1,1,0.8882,0.9834,0.4651,0.8345,163.875,332.5,67.125,332.5,175.75,605.0,88.4375,672.0,96.75,110.0567,1.1375,0,0,0,0
2,2,0,1,0,1,1,0.9941,0.8516,0.8955,0.2585,1044.0,349.0,1038.0,338.0,998.5,607.0,970.5,589.0,12.53,33.2866,2.6566,0,0,0,0
3,2,0,0,0,1,1,0.9004,0.9878,0.3203,0.7798,150.75,336.0,60.5,332.5,195.125,630.5,83.75,681.0,90.3178,122.2892,1.354,0,0,0,0
3,2,0,1,0,1,1,0.9941,0.8315,0.9111,0.2441,1035.0,348.5,1032.0,342.5,989.0,607.0,971.0,579.5,6.7082,32.8672,4.8995,0,0,0,0
4,2,0,0,0,1,1,0.8843,0.9868,0.2793,0.7681,155.5,344.0,58.8438,338.0,184.0,646.0,83.625,682.0,96.8423,106.6356,1.1011,0,0,0,0
4,2,0,1,0,1,1,0.9956,0.876,0.9233,0.3032,1032.0,351.0,1046.0,344.5,989.0,607.0,971.5,581.5,15.4353,30.9273,2.0037,0,0,0,0
5,2,0,0,0,1,1,0.9023,0.9888,0.3096,0.772,151.75,334.0,65.25,334.0,186.5,638.0,82.25,680.0,86.5,112.3924,1.2993,0,0,0,0
5,2,0,1,0,1,1,0.9941,0.8608,0.9106,0.3049,1034.0,350.5,1025.0,339.0,990.5,605.0,957.0,569.0,14.6031,49.1757,3.3675,0,0,0,0
6,2,0,0,0,1,1,0.8975,0.9873,0.2988,0.7603,153.0,334.5,60.5625,333.5,185.125,638.0,83.3125,671.0,92.4429,107.027,1.1578,0,0,0,0
6,2,0,1,0,1,1,0.9956,0.8657,0.9136,0.2654,1030.0,345.5,1034.0,333.5,990.0,605.0,956.0,569.0,12.6491,49.5177,3.9147,0,0,0,0
7,2,0,0,1,0,1,0.9209,0.9873,0.4094,0.8066,168.125,334.0,73.75,328.5,193.875,651.0,82.4375,692.0,94.5351,118.7405,1.256,0,0,0,0
7,2,0,1,0,1,1,0.9946,0.832,0.9238,0.3035,1033.0,352.0,1031.0,340.0,995.0,606.5,959.5,570.5,12.1655,50.5594,4.156,0,0,0,0
8,2,0,0,1,1,1,0.9141,0.9868,0.4497,0.8301,167.25,334.0,72.125,325.5,194.5,643.0,82.3125,683.0,95.504,119.1051,1.2471,0,0,0,0
8,2,0,1,0,1,1,0.9956,0.8291,0.938,0.3113,1027.0,343.5,1025.0,336.5,1004.0,597.0,951.0,561.0,7.2801,64.0703,8.8007,0,0,0,0
9,2,0,0,1,0,1,0.9141,0.9863,0.4343,0.8184,163.5,332.0,78.1875,323.0,193.75,642.5,72.5,692.0,85.7859,130.9649,1.5266,0,0,0,0
9,2,0,1,0,1,1,0.9951,0.8125,0.9341,0.2808,1030.0,350.5,1031.0,338.0,996.0,606.0,968.5,562.5,12.5399,51.4636,4.104,0,0,0,0
10,2,0,0,1,1,1,0.8711,0.9849,0.4497,0.8574,175.5,332.0,68.6875,329.0,177.625,595.5,87.0,671.0,106.8546,117.954,1.1039,0,0,0,0
10,2,0,1,0,1,1,0.9961,0.8931,0.9243,0.3269,1022.0,351.0,1018.0,343.0,994.5,614.0,956.0,586.5,8.9443,47.3128,5.2897,0,0,0,0
11,2,0,0,1,1,1,0.8833,0.9844,0.4504,0.8428,175.375,333.0,73.8125,329.0,176.875,612.5,86.5625,672.0,101.6412,108.1508,1.064,0,0,0,0
11,2,0,1,0,1,1,0.9956,0.8926,0.9243,0.3447,1023.0,350.5,1016.0,343.5,994.0,614.5,957.0,586.5,9.8995,46.4004,4.6872,0,0,0,0
