frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,2,0,0,1,1,1,0.9908,0.9882,0.926,0.912,900.7614,351.2503,775.2498,347.1792,859.9108,391.4968,824.5576,389.2334,125.5775,35.4256,0.2821,1,1,1,0
0,2,0,1,1,1,1,0.9904,0.9916,0.9285,0.9351,728.576,293.9006,605.3142,293.6733,673.2917,287.0938,633.941,276.1062,123.262,40.8559,0.3315,1,1,1,0
1,2,0,0,1,1,1,0.9912,0.988,0.9285,0.9105,899.6751,350.4886,774.5806,346.632,859.8657,393.3798,820.6818,392.0862,125.154,39.2052,0.3133,1,1,2,0
1,2,0,1,1,1,1,0.9905,0.9916,0.9275,0.9346,728.4447,293.9241,604.5336,293.2353,672.4336,287.4738,633.8105,276.3206,123.913,40.2012,0.3244,1,1,2,0
2,2,0,0,1,1,1,0.9913,0.988,0.9293,0.9106,899.5645,350.5768,774.5444,346.5427,859.7402,393.3915,820.7751,392.1568,125.0852,38.9846,0.3117,1,1,3,0
2,2,0,1,1,1,1,0.9905,0.9916,0.9277,0.9346,728.5849,294.0518,604.5666,293.3172,672.4062,287.364,633.8628,276.1476,124.0205,40.1423,0.3237,1,1,3,0
3,2,0,0,1,1,1,0.9913,0.9876,0.9298,0.9089,898.4368,350.2189,774.0474,347.3328,855.5282,390.5579,821.761,390.9858,124.4229,33.7699,0.2714,1,1,4,0
3,2,0,1,1,1,1,0.9906,0.9912,0.9292,0.9317,728.26,293.6484,605.0708,293.0998,670.8017,286.9031,632.6856,278.5932,123.1903,39.0113,0.3167,1,1,4,0
4,2,0,0,1,1,1,0.9914,0.9875,0.9304,0.9078,898.4653,350.0531,774.1256,347.1161,855.2758,390.551,821.6054,391.88,124.3744,33.6966,0.2709,1,1,5,0
4,2,0,1,1,1,1,0.9906,0.9914,0.9288,0.9327,728.1076,293.5659,604.8267,292.9761,670.8754,287.1978,632.686,278.6466,123.2824,39.1351,0.3174,1,1,5,0
5,2,0,0,1,1,1,0.9915,0.9873,0.9311,0.9069,897.864,349.9384,773.2107,347.8527,855.4413,391.194,821.6452,390.6488,124.6708,33.8005,0.2711,1,1,6,1
5,2,0,1,1,1,1,0.9902,0.9911,0.9271,0.9318,727.3762,294.1328,604.132,293.2404,670.3429,287.6483,632.2356,279.7752,123.2474,38.9122,0.3157,1,1,6,1
